cod_manzana,score_accesibilidad,score_ambiental,score_socioeconomico,score_seguridad,atlas_score,municipio,moran_i,lisa_q,lisa_p,zona_atlas,quintil
0505110000000000010401,0.30952380952380953,0.9996248215944413,0.6524646711024138,0.5,0.8561751905788535,Arboletes,0.7436,4,0.001,HL,Q5-Óptimo
0505110000000000010901,0.30952380952380953,1.0,0.6101964089227132,0.5,0.8398322178898078,Arboletes,0.7436,4,0.001,HL,Q5-Óptimo
0549010000000000010228,0.26190476190476186,0.4636514923659857,0.0,1.0,0.5690308901716782,Necoclí,0.7436,3,0.001,LL,Q2-Bajo
0549020120301000010104,0.16666666666666666,0.41329554179632294,0.7354318842494268,1.0,0.7991333991344586,Necoclí,0.7436,4,0.001,HL,Q5-Óptimo
0549020120101100010107,0.16666666666666666,0.3967898729217122,0.6833889360331701,1.0,0.772391797035465,Necoclí,0.7436,1,0.365,NS,Q5-Óptimo
0549020090501500010106,0.16666666666666666,0.4736509990580562,0.6551282151831438,1.0,0.7913513728106222,Necoclí,0.7436,4,0.001,HL,Q5-Óptimo
0549020050401800010103,0.16666666666666666,0.49650339350125827,0.6904151283555194,1.0,0.8140321838400527,Necoclí,0.7436,4,0.001,HL,Q5-Óptimo
0565920010300300010123,0.16666666666666666,0.8379235015408519,0.0,1.0,0.6778852218167734,San Juan de Urabá,0.7436,4,0.001,HL,Q3-Medio
0583720090700100010409,0.16666666666666666,0.04427589916207282,0.6617816124361247,1.0,0.6264427860231833,Turbo,0.7436,3,0.001,LL,Q2-Bajo
0583720090700100010415,0.16666666666666666,0.044059731908545965,0.6128104162844518,1.0,0.6072542311507074,Turbo,0.7436,3,0.001,LL,Q2-Bajo
0583720090700100020211,0.16666666666666666,0.04044969611610785,0.5898182856138812,1.0,0.5968764207627609,Turbo,0.7436,3,0.001,LL,Q2-Bajo
0583720100700200010311,0.16666666666666666,0.15488935632342846,0.5959705789337145,1.0,0.6439207255849672,Turbo,0.7436,4,0.001,HL,Q2-Bajo
0583720100700200010513,0.16666666666666666,0.15374638664268292,0.5872769982328268,1.0,0.6400833744100537,Turbo,0.7436,3,0.001,LL,Q2-Bajo
0583720100400800010308,0.16666666666666666,0.12612083739737537,0.5669567031753018,1.0,0.6213791503854167,Turbo,0.7436,3,0.001,LL,Q2-Bajo
0583720020101300010212,0.16666666666666666,0.39380846402961356,0.6832858752815074,1.0,0.7711885100342036,Turbo,0.7436,4,0.001,HL,Q5-Óptimo
0583720070202000010101,0.16666666666666666,0.10359409563392798,0.6216079350504131,1.0,0.6339112825954715,Turbo,0.7436,3,0.001,LL,Q2-Bajo
0583720090102700010111,0.16666666666666666,0.07751446377222729,0.6102148776683615,1.0,0.6192927565352402,Turbo,0.7436,3,0.001,LL,Q2-Bajo
0583720090103900010115,0.16666666666666666,0.10167228801308183,0.671589802237766,1.0,0.6526600633050487,Turbo,0.7436,4,0.31,NS,Q2-Bajo
0504520020500200010213,0.16666666666666666,0.21442660894204382,0.6917399478267297,1.0,0.7045076207268143,Apartadó,0.7436,4,0.001,HL,Q3-Medio
0504520030101500010110,0.16666666666666666,0.260493798043,0.578178953017984,1.0,0.678177512651958,Apartadó,0.7436,4,0.001,HL,Q3-Medio
0505110000000000011017,0.30952380952380953,0.9947925836386057,0.5858262514252482,0.5,0.8282936669349615,Arboletes,0.7436,1,0.092,NS,Q5-Óptimo
0505110000000000011107,0.30952380952380953,0.9900194765157532,0.0,0.5,0.5978940802404803,Arboletes,0.7436,3,0.001,LL,Q2-Bajo
0505120020500300010119,0.16666666666666666,0.735942430092336,0.0,1.0,0.6381012356469259,Arboletes,0.7436,3,0.001,LL,Q2-Bajo
0505120040101000010115,0.16666666666666666,0.6682514714601387,0.0,1.0,0.611694215953996,Arboletes,0.7436,3,0.001,LL,Q2-Bajo
